epoch,train_loss,sanval_nse,lr,grad_norm,elapsed_s
0,0.5945723417686709,0.5040266964917595,9.969923681206571e-05,2.789003,644.8
1,0.5278762403940646,0.5346733135125987,9.636042498519621e-05,2.357737,653.3
2,0.513807865755295,0.5208155656368862,8.956094024782921e-05,2.251158,644.7
3,0.5024225404446067,0.5261090904385017,7.981387842590926e-05,2.113094,653.4
4,0.49155765331347334,0.5550810334447456,6.785476241995358e-05,2.105176,655.5
5,0.4768983882828169,0.5539555775624154,5.4586038921388704e-05,2.056229,689.2
6,0.46362090174102344,0.5691325244831043,4.100897889495582e-05,2.046524,658.6
7,0.44684087667286804,0.5645231180230559,2.8148120683961606e-05,2.105925,646.0
8,0.4316980511026343,0.5597747225575196,1.6973957336189687e-05,2.141878,646.3
9,0.41923038693661635,0.5798824466159438,8.329702241127688e-06,2.144909,642.3
10,0.4114006594836076,0.5940654195176505,2.8676594157699457e-06,2.220398,639.7
