epoch,train_loss,sanval_nse,lr,grad_norm,elapsed_s
0,0.6278521222457815,0.4885464519563727,5e-05,2.822137,697.6
1,0.5356567735825616,0.5202222059617294,0.0001,2.571448,681.9
2,0.5218195428260176,0.527047195205186,9.983093240383015e-05,2.437478,656.3
3,0.5091773938070882,0.5249103548072942,9.932488451843476e-05,2.263739,697.7
4,0.4997317315232048,0.5414570302364472,9.848531316399687e-05,2.201215,714.2
5,0.49028015846475603,0.5533712989040769,9.73179534641814e-05,2.110326,699.3
6,0.4817443263764722,0.5299550763652319,9.583077966942534e-05,2.039511,691.4
7,0.4740442115362363,0.5787569246016552,9.403395068472121e-05,1.994910,679.6
8,0.4637887692366903,0.5791623099690533,9.193974067399516e-05,2.008098,683.3
9,0.4535686908561215,0.5673775986133018,8.956245521512149e-05,1.999535,678.6
10,0.44286931345690944,0.5978242611030011,8.691833357832002e-05,2.129437,682.6
11,0.4321484545087391,0.5412926971442116,8.40254377954742e-05,2.085595,653.2
12,0.4213751032391247,0.5651065379390263,8.090352927813856e-05,2.176917,656.0
13,0.40744421203084014,0.562006606836178,7.757393382706014e-05,2.179146,680.3
14,0.3946000073950833,0.6185767629011506,7.405939595533516e-05,2.279418,668.8
15,0.38318267454772614,0.587357153015045,7.0383923520322e-05,2.331150,627.0
16,0.3686839441030006,0.593067576250802,6.657262372563184e-05,2.320651,644.8
17,0.3576963895360195,0.5820623883706593,6.265153161346956e-05,2.398828,649.3
18,0.34333763759254754,0.6059699104081808,5.864743221889634e-05,2.365412,631.7
19,0.32851560261314366,0.5397170301598998,5.458767760088046e-05,2.381877,628.7
20,0.31656360310469556,0.5545241477819363,5.05e-05,2.480347,639.0
21,0.30566588093612246,0.5679249478097173,4.6412322399119556e-05,2.426065,630.0
22,0.2950209299401846,0.5231835403153278,4.2352567781103665e-05,2.538347,647.8
23,0.2833258696097743,0.5285383329284676,3.834846838653045e-05,2.420980,645.3
24,0.27255606078248146,0.5376064617063602,3.442737627436817e-05,2.406619,631.3
25,0.2628198299768138,0.5492446485330194,3.0616076479678025e-05,2.430880,631.5
26,0.2564970237106157,0.5384609256206191,2.6940604044664862e-05,2.539367,644.4
27,0.24649120704184246,0.5554448463515315,2.3426066172939882e-05,2.316473,631.3
28,0.24155637079803446,0.5445942836251904,2.0096470721861445e-05,2.341467,646.8
29,0.23073045896500086,0.5449437208526466,1.6974562204525823e-05,2.232636,642.7
30,0.2229445725295457,0.5456619814124519,1.4081666421679987e-05,2.175579,642.2
31,0.21992400448743735,0.5239659468299223,1.1437544784878524e-05,2.251411,673.2
32,0.21456982096379335,0.5568522604586519,9.060259326004838e-06,2.120986,685.8
33,0.21181761343570704,0.5584876555570293,6.966049315278797e-06,2.139479,665.0
34,0.20834455671278942,0.5517339609158294,5.169220330574654e-06,2.082664,626.3
