epoch,train_loss,sanval_nse,lr,grad_norm,elapsed_s
0,0.6252319158827835,0.5395659072717883,5e-05,2.717715,579.0
1,0.5422039594332749,0.5573767853834892,0.0001,2.523867,579.7
2,0.5243294707971639,0.5676283806934156,9.983093240383015e-05,2.358849,579.7
3,0.5123227614655583,0.593814122730864,9.932488451843476e-05,2.323382,579.4
4,0.505542331181345,0.5764532873555546,9.848531316399687e-05,2.184899,579.8
5,0.49685336944785513,0.614782299111594,9.73179534641814e-05,2.169457,579.7
6,0.48902844185942257,0.5689477703872353,9.583077966942534e-05,2.198065,580.7
7,0.48012190734135185,0.6178005722627689,9.403395068472121e-05,2.147925,580.3
8,0.471710105580719,0.6303154856072861,9.193974067399516e-05,2.223729,580.6
9,0.46055265431442466,0.5926955240263613,8.956245521512149e-05,2.165973,580.6
10,0.45257566431326635,0.614073010883006,8.691833357832002e-05,2.208023,580.9
11,0.4430625542156844,0.5984392849940823,8.40254377954742e-05,2.277008,581.2
12,0.42996860233223777,0.5953926768585609,8.090352927813856e-05,2.294273,580.3
13,0.4191166899918085,0.601130097005516,7.757393382706015e-05,2.249283,580.2
14,0.4092881688930792,0.6122796779715802,7.405939595533516e-05,2.338580,580.9
15,0.3953591721172925,0.5838307910150411,7.0383923520322e-05,2.396342,580.5
16,0.38255659595714187,0.6104376235939792,6.657262372563184e-05,2.351899,580.6
17,0.37167289638622525,0.6191270878146832,6.265153161346956e-05,2.473130,580.3
18,0.3582459127560051,0.6147718697549949,5.864743221889634e-05,2.525423,580.4
19,0.3463121581166202,0.6099747340098562,5.458767760088046e-05,2.545118,580.7
20,0.3352295393534826,0.6254981874768759,5.05e-05,2.583610,580.6
21,0.3204006485429302,0.6142398141845238,4.6412322399119556e-05,2.516755,580.2
22,0.3103651654582088,0.6507141743485505,4.2352567781103665e-05,2.514688,580.7
23,0.29795585855849105,0.6416312788989477,3.834846838653045e-05,2.502553,581.3
24,0.2898951774842199,0.6374304999220615,3.442737627436817e-05,2.448083,581.7
25,0.27847828678258835,0.649588988495925,3.0616076479678025e-05,2.450697,581.4
26,0.26950931956555885,0.6239292498843536,2.6940604044664862e-05,2.480396,581.7
27,0.26063654043906626,0.6579493338035696,2.3426066172939882e-05,2.686247,581.7
28,0.25470676150086563,0.6426367991679118,2.0096470721861445e-05,2.419133,581.8
29,0.24586348416299192,0.6595206635996855,1.697456220452583e-05,2.360254,580.7
30,0.2406976685752346,0.6504688549826386,1.4081666421679987e-05,2.341959,579.8
31,0.23246082642232702,0.6515963850237028,1.1437544784878524e-05,2.286015,580.2
32,0.2287325835566794,0.6404822922122326,9.060259326004838e-06,2.291310,580.1
33,0.22606863104558322,0.6516166691320038,6.966049315278797e-06,2.229221,580.3
34,0.22246020060457075,0.6522351364576089,5.169220330574654e-06,2.235348,581.9
35,0.21885809726451064,0.6471858048651536,3.6820465358185853e-06,2.142285,582.0
36,0.21705930452925015,0.6502201897269652,2.5146868360031462e-06,2.171774,581.9
37,0.21645131730427872,0.6525852494663226,1.675115481565245e-06,2.216945,581.8
38,0.21491449358005205,0.6510327360232584,1.1690675961698423e-06,2.194877,582.3
39,0.21428852755231892,0.6521089418613412,1e-06,2.163084,582.1
