epoch,train_loss,sanval_nse,lr,grad_norm,elapsed_s
0,0.4902872578111618,0.4319828287965073,5e-05,2.601859,1052.0
1,0.3997510290450574,0.3258140308802262,0.0001,2.342564,1039.7
2,0.3896992395500256,0.45607869432758696,9.983093240383015e-05,2.242141,1036.9
3,0.3788450023495599,0.5007207160001997,9.932488451843476e-05,2.011504,1048.8
4,0.3727938420021405,0.5245576449411762,9.848531316399687e-05,1.998539,1039.1
5,0.36601570286038027,0.487155762214571,9.73179534641814e-05,1.879492,1046.4
6,0.3617340445418776,0.5266824875822713,9.583077966942534e-05,1.789274,1037.0
7,0.35492142577392455,0.49250517079738365,9.403395068472121e-05,1.734227,1056.3
8,0.35234707555750416,0.3240894686550537,9.193974067399516e-05,1.716994,1038.0
9,0.3460563436296395,0.48921309822877035,8.956245521512149e-05,1.671558,1053.1
10,0.3411096595716976,0.4519282598561114,8.691833357832002e-05,1.720146,1038.4
11,0.33416701538817284,0.5156038465344011,8.40254377954742e-05,1.671135,1050.0
12,0.3276939535920924,0.4832913415455048,8.090352927813856e-05,1.692372,1042.3
13,0.3234320352134723,0.4719642152634499,7.757393382706014e-05,1.655890,1037.5
14,0.31308005675977435,0.48448350341412705,7.405939595533516e-05,1.729991,1044.5
15,0.307568740912876,0.49484902553738197,7.0383923520322e-05,1.714572,1031.4
16,0.29970844020209025,0.47938993710612865,6.657262372563184e-05,1.768681,1044.7
17,0.2947926872458939,0.5085230754620158,6.265153161346956e-05,1.766714,1045.0
18,0.28193263542917585,0.4378143708456014,5.864743221889634e-05,1.799961,1050.4
19,0.2756652779631357,0.5042414081730535,5.458767760088046e-05,1.802050,1037.1
20,0.2666025255320686,0.5063731058557015,5.05e-05,1.847635,1049.8
21,0.25744099462677605,0.4774732351505726,4.6412322399119556e-05,1.813249,1006.0
22,0.24754670905783846,0.5115238347616213,4.2352567781103665e-05,1.893415,1004.0
23,0.24181991006252232,0.48399165425004786,3.834846838653045e-05,1.928215,1005.2
24,0.2321371149115484,0.5139850685927053,3.442737627436817e-05,1.930269,999.8
25,0.22471012617947975,0.4918603518603114,3.0616076479678025e-05,1.974232,1014.9
26,0.2187142039562802,0.4589587230501917,2.6940604044664862e-05,1.894927,1009.8
