epoch,train_loss,sanval_nse,lr,grad_norm,elapsed_s
0,0.6237490599179913,0.46850642299955325,5e-05,2.670006,579.7
1,0.5595881912917018,0.45704473147573166,0.0001,2.557772,578.5
2,0.5524852219206485,0.47240324853585347,9.983093240383015e-05,2.365434,578.3
3,0.5456550795211108,0.4751706797927375,9.932488451843476e-05,2.204020,578.7
4,0.5406105929269487,0.481275518755128,9.848531316399687e-05,2.201091,578.7
5,0.5380098212899888,0.4795443923966495,9.73179534641814e-05,2.137278,578.6
6,0.5355177732057083,0.4944193526110263,9.583077966942534e-05,1.999019,579.0
7,0.5315895315492726,0.43837994585291606,9.403395068472121e-05,1.959174,578.7
8,0.5301859208219758,0.4611042061736478,9.193974067399516e-05,1.899889,579.0
9,0.5301391315920294,0.4906543746397455,8.956245521512149e-05,1.834102,578.9
10,0.5284800936394357,0.4983889972986437,8.691833357832002e-05,1.845502,578.5
11,0.5261484680317647,0.4866893036392902,8.40254377954742e-05,1.760708,578.8
12,0.5246815061774729,0.5004048103326875,8.090352927813856e-05,1.694139,578.6
13,0.523207652222844,0.4992499917749028,7.757393382706015e-05,1.694526,578.6
14,0.5219075798283385,0.5137133378093166,7.405939595533516e-05,1.620519,578.2
15,0.5195159856755273,0.5058267009420296,7.0383923520322e-05,1.631354,578.8
16,0.5188581236482687,0.481459666990817,6.657262372563184e-05,1.682468,578.2
17,0.5154033027914071,0.4990381042412583,6.265153161346956e-05,1.620948,578.4
18,0.5129711770418164,0.5023182251243978,5.864743221889634e-05,1.576571,578.7
19,0.511958278811329,0.5141200085147728,5.458767760088046e-05,1.542072,578.6
20,0.5095705763164096,0.5044271904625527,5.05e-05,1.523377,583.4
21,0.5068063228660402,0.5074446073592194,4.6412322399119556e-05,1.544565,578.4
22,0.5040213982643298,0.49845669643160495,4.2352567781103665e-05,1.539837,578.2
23,0.5032085712213626,0.49707075123698297,3.834846838653045e-05,1.554521,578.5
24,0.5004874840336101,0.5061628048585312,3.442737627436817e-05,1.561171,578.5
25,0.4965863120018254,0.5052390077029358,3.0616076479678025e-05,1.551638,578.7
26,0.4944333625893913,0.5076736214531812,2.6940604044664862e-05,1.565642,578.6
27,0.49161676134308385,0.5037664693962399,2.3426066172939882e-05,1.560278,578.8
28,0.4901941839999909,0.49992866849834827,2.0096470721861445e-05,1.538960,578.5
29,0.4863297128351339,0.4979444129663917,1.697456220452583e-05,1.573588,578.7
30,0.48325609038121337,0.505597470740021,1.4081666421679987e-05,1.601023,579.1
31,0.48181045618208995,0.5055861771682328,1.1437544784878524e-05,1.618825,579.2
32,0.48058750989907945,0.5010416567759582,9.060259326004838e-06,1.605676,578.8
33,0.47789198071598543,0.5036795575660586,6.966049315278797e-06,1.596427,579.6
34,0.4756980368114566,0.5034662112722108,5.169220330574654e-06,1.635267,579.2
35,0.47396117887765515,0.4999450332890407,3.6820465358185853e-06,1.632502,579.6
36,0.47336066168067176,0.5016198123787187,2.5146868360031462e-06,1.614577,579.5
37,0.473463089011088,0.5005544891581251,1.675115481565245e-06,1.642612,579.8
38,0.4731444659105092,0.5002233171586322,1.1690675961698423e-06,1.637226,579.8
39,0.47269491043374806,0.49901653852546757,1e-06,1.635811,579.7
