epoch,train_loss,sanval_nse,lr,grad_norm,elapsed_s
0,0.6347502672086549,0.45724863569888896,5e-05,2.915837,580.8
1,0.5501485004284676,0.47675233490477487,0.0001,2.659282,580.2
2,0.5384670341354862,0.47544409506777907,9.983093240383015e-05,2.482201,581.4
3,0.5329679706739942,0.4949766061102656,9.932488451843476e-05,2.300250,581.2
4,0.5265909462613676,0.47971625751979896,9.848531316399687e-05,2.134631,581.3
5,0.5229953111210961,0.4857813587878117,9.73179534641814e-05,2.019243,581.3
6,0.5180699618996115,0.4708739152549781,9.583077966942534e-05,1.922343,580.5
7,0.5151587631806706,0.4802714208285779,9.403395068472121e-05,1.832930,581.0
8,0.5112737163729623,0.48303874155334914,9.193974067399516e-05,1.832836,581.1
9,0.5090361413421393,0.4828206186504469,8.956245521512149e-05,1.748596,581.4
10,0.5068533154822525,0.5002358695713334,8.691833357832002e-05,1.700441,582.2
11,0.5024207022540739,0.4904962405656126,8.40254377954742e-05,1.633550,582.0
12,0.49948150427457966,0.48607163991419,8.090352927813856e-05,1.580892,582.7
13,0.4958663363326442,0.4978952109030418,7.757393382706015e-05,1.564396,582.5
14,0.4906652179447203,0.49758995332189215,7.405939595533516e-05,1.559613,582.9
15,0.48796840274619563,0.4990023378312547,7.0383923520322e-05,1.566520,582.4
16,0.4852567789116285,0.4808835114805584,6.657262372563184e-05,1.614509,582.8
17,0.48212455180115016,0.4921160163016557,6.265153161346956e-05,1.607222,582.8
18,0.47648211866281254,0.48924248317238306,5.864743221889634e-05,1.622323,582.7
19,0.47228563380353805,0.489593014093061,5.458767760088046e-05,1.617575,583.2
20,0.4664021142981861,0.5000064350483115,5.05e-05,1.685873,583.7
21,0.4613642311423554,0.48180369485109986,4.6412322399119556e-05,1.740824,583.3
22,0.4568609879724095,0.49811721426629696,4.2352567781103665e-05,1.678801,583.6
23,0.4518759345978119,0.48672494569096203,3.834846838653045e-05,1.714060,583.3
24,0.4442564244114125,0.4935186405659787,3.442737627436817e-05,1.757723,583.5
25,0.44178493567357136,0.4834895274519255,3.0616076479678025e-05,1.758108,583.6
26,0.4360275696451151,0.481304021857488,2.6940604044664862e-05,1.757818,583.1
27,0.43106508294092166,0.48646360331915695,2.3426066172939882e-05,1.786976,583.6
28,0.42613596527061604,0.4858929252041537,2.0096470721861445e-05,1.813524,583.1
29,0.419888230028138,0.47867660562438163,1.697456220452583e-05,1.814675,583.2
30,0.41674199333119016,0.4871331638741404,1.4081666421679987e-05,1.833656,583.3
