epoch,train_loss,sanval_nse,lr,grad_norm,elapsed_s
0,0.8359373118392451,0.4888376763013984,5e-05,2.831823,676.1
1,0.6824394146973923,0.5240395971725398,0.0001,2.641653,681.4
2,0.6605353630693124,0.5367818737929756,9.983093240383015e-05,2.483238,670.9
3,0.6453986644591296,0.5559249037863854,9.932488451843476e-05,2.289065,670.8
4,0.6337758139599164,0.5414359848011516,9.848531316399687e-05,2.218005,688.6
5,0.623520814562779,0.5787218086308649,9.73179534641814e-05,2.138462,689.4
6,0.6139585202457978,0.5446149900278952,9.583077966942534e-05,2.119151,683.9
7,0.6007073947788139,0.5727338206879782,9.403395068472121e-05,2.096780,718.7
8,0.5913407376514374,0.5891318111956767,9.193974067399516e-05,2.174444,747.9
9,0.5791613862020834,0.5958366011914917,8.956245521512149e-05,2.161999,764.9
10,0.5678900535792463,0.6173002659528761,8.691833357832002e-05,2.269077,720.3
11,0.5530886034586011,0.6064748131709363,8.40254377954742e-05,2.210818,711.2
12,0.5433733458104155,0.5555947274168311,8.090352927813856e-05,2.312509,691.8
13,0.5263146353086189,0.6283610582511201,7.757393382706014e-05,2.414420,713.2
14,0.5116101336187392,0.5446110538046558,7.405939595533516e-05,2.471349,731.3
15,0.5032083164573126,0.58240799986174,7.0383923520322e-05,2.499070,772.7
16,0.49028165648898525,0.5833315929463534,6.657262372563184e-05,2.516010,772.3
17,0.4728512297361244,0.5789637118541089,6.265153161346956e-05,2.541671,775.5
18,0.46079026249437594,0.6171298546272095,5.864743221889634e-05,2.602240,749.2
19,0.4500187876237828,0.5734780870257304,5.458767760088046e-05,2.577189,742.5
20,0.43637464179279056,0.5751002574084476,5.05e-05,2.571367,752.8
21,0.42497722964095,0.5775561927508752,4.6412322399119556e-05,2.621537,758.9
22,0.4159268702433951,0.5788179690062472,4.2352567781103665e-05,2.652153,769.0
23,0.4058599040965927,0.5904409490693561,3.834846838653045e-05,2.534389,806.8
24,0.39665346925199935,0.6492838385340785,3.442737627436817e-05,2.577373,796.6
25,0.38596575812994155,0.5754600743944592,3.0616076479678025e-05,2.531875,802.2
26,0.3778354017804661,0.5517240846768985,2.6940604044664862e-05,2.485605,768.6
27,0.36870786494549046,0.5771223174994934,2.3426066172939882e-05,2.456934,766.1
28,0.36119657164269453,0.6086148567075489,2.0096470721861445e-05,2.480482,758.5
29,0.3538056759192,0.5727841014030042,1.6974562204525823e-05,2.358309,756.0
30,0.3488944533571383,0.5745868801170602,1.4081666421679987e-05,2.425105,750.6
31,0.3450090614441572,0.5598458073034782,1.1437544784878524e-05,2.344601,741.6
32,0.34126699797973364,0.5822593941596012,9.060259326004838e-06,2.336123,744.2
33,0.33794038432855306,0.5701329968907081,6.966049315278797e-06,2.286122,749.3
34,0.334697429872484,0.5540383182824263,5.169220330574654e-06,2.245058,745.1
35,0.33268711744945506,0.555786488906968,3.6820465358185853e-06,2.238232,764.7
36,0.3303251564438726,0.5637104667400763,2.5146868360031462e-06,2.236570,767.2
37,0.3283143737725327,0.5595677127375399,1.675115481565245e-06,2.196642,803.8
38,0.3270970243537218,0.5637903005364113,1.1690675961698423e-06,2.174707,785.7
39,0.32710967049314066,0.561052985280786,1e-06,2.204403,783.4
