epoch,train_loss,sanval_nse,lr,grad_norm,elapsed_s
0,0.6265964755213068,0.4838951722051402,5e-05,2.870103,424.4
1,0.5362143259886902,0.5262357985149857,0.0001,2.639806,409.2
2,0.5224079397495547,0.5381085452017125,9.983093240383015e-05,2.490882,410.9
3,0.511193591804848,0.5199714356971405,9.932488451843476e-05,2.255765,397.2
4,0.5019802263242799,0.5452062329277729,9.848531316399687e-05,2.231086,409.7
5,0.49482637724254974,0.5647698896539224,9.73179534641814e-05,2.109428,688.2
6,0.48636089238044083,0.5372932059750084,9.583077966942534e-05,2.064277,412.3
7,0.4773659004594927,0.5443071226291264,9.403395068472121e-05,2.027295,395.3
8,0.46889717428153926,0.5455064098993968,9.193974067399516e-05,2.075563,401.1
9,0.46114831607023055,0.5647648666057387,8.956245521512149e-05,2.022943,396.7
10,0.4520638172071872,0.6139962304392765,8.691833357832002e-05,2.062132,392.4
11,0.442776803323461,0.5867729031803512,8.40254377954742e-05,2.035091,386.2
12,0.43213806601762217,0.5569577770755031,8.090352927813856e-05,2.049998,383.5
13,0.42319756369043815,0.5949812142056432,7.757393382706014e-05,2.158125,382.0
14,0.4109352913066839,0.5346328243269485,7.405939595533516e-05,2.197912,379.8
15,0.4018369810045141,0.5893057241472133,7.0383923520322e-05,2.237479,380.2
16,0.38725694416812334,0.5791439105172735,6.657262372563184e-05,2.343571,397.0
17,0.3782662466854164,0.5805075644561304,6.265153161346956e-05,2.329197,405.8
18,0.36745571328506765,0.5377435115935549,5.864743221889634e-05,2.422495,388.1
19,0.35280707456526655,0.599784475793566,5.458767760088046e-05,2.306238,379.4
20,0.33999149677749735,0.5757711855608427,5.05e-05,2.408745,377.1
21,0.3286493325991529,0.5949362172500121,4.6412322399119556e-05,2.428692,374.9
22,0.31687305274523736,0.5669217423838324,4.2352567781103665e-05,2.508029,374.7
23,0.30770282157382967,0.5562519346344348,3.834846838653045e-05,2.485777,376.1
24,0.29995753619280763,0.6042072086221288,3.442737627436817e-05,2.510162,382.7
25,0.28915607498549706,0.5675583474560719,3.0616076479678025e-05,2.495582,377.3
26,0.2781571625053857,0.586669665529592,2.6940604044664862e-05,2.434454,372.9
27,0.2711025703388578,0.5650063143700552,2.3426066172939882e-05,2.463587,373.6
28,0.2626979976644243,0.5509146548698223,2.0096470721861445e-05,2.394443,376.0
29,0.25674580961144283,0.5753512607746658,1.6974562204525823e-05,2.472372,382.6
30,0.25020778086249745,0.6205762162922239,1.4081666421679987e-05,2.482411,379.7
31,0.245886284190225,0.6019785875343184,1.1437544784878524e-05,2.341864,389.5
32,0.24271169845817353,0.6100394486128322,9.060259326004838e-06,2.353141,381.9
33,0.23730735998891878,0.5783518027995735,6.966049315278797e-06,2.356749,377.8
34,0.23300238452878969,0.5695112410150119,5.169220330574654e-06,2.228609,375.0
35,0.2316459587319508,0.6201317166055706,3.6820465358185853e-06,2.334624,373.2
36,0.2287763521529045,0.5835084140536557,2.5146868360031462e-06,2.187072,381.4
37,0.22707671251717498,0.5799310927579087,1.675115481565245e-06,2.197211,381.9
38,0.22646146854841662,0.5800041445682486,1.1690675961698423e-06,2.207177,381.3
39,0.22601803806507756,0.5809378889517145,1e-06,2.215235,378.6
