epoch,train_loss,sanval_nse,lr,grad_norm,elapsed_s
0,0.09721173767457433,0.4859051501595707,5e-05,0.745975,1024.5
1,0.07309723436667653,0.49649054874865584,0.0001,0.677217,1005.1
2,0.0702237918051245,0.526139745291454,9.983093240383015e-05,0.606970,1016.8
3,0.06833726586100762,0.5193980821369943,9.932488451843476e-05,0.556499,1036.2
4,0.06706301940937259,0.5402735946602872,9.848531316399687e-05,0.532540,1067.5
5,0.06607361487346236,0.531593909811692,9.73179534641814e-05,0.486183,1065.7
6,0.06495972340214638,0.5484699071615866,9.583077966942534e-05,0.468531,1090.8
7,0.06400285021039598,0.551335975345111,9.403395068472121e-05,0.448984,1090.5
8,0.06319947901470899,0.5496014494570918,9.193974067399516e-05,0.416659,1048.4
9,0.062266401344437804,0.5657860796561696,8.956245521512149e-05,0.405981,1060.4
10,0.06149001574800199,0.6118857875081388,8.691833357832002e-05,0.393588,1058.1
11,0.060543665109026826,0.5727780355205342,8.40254377954742e-05,0.390356,1026.4
12,0.05984278029721948,0.5418402263907371,8.090352927813856e-05,0.378512,1035.7
13,0.05864378323704122,0.5996730250503486,7.757393382706014e-05,0.390203,1051.4
14,0.05767519449662644,0.5482388916917535,7.405939595533516e-05,0.377222,1033.7
15,0.056879931386142134,0.5601775510690086,7.0383923520322e-05,0.377635,1051.4
16,0.05594450010135002,0.5464288934252941,6.657262372563184e-05,0.382030,1107.9
17,0.05474246440523574,0.584522448179769,6.265153161346956e-05,0.367478,1097.6
18,0.05374199952688916,0.5720048885531248,5.864743221889634e-05,0.365229,1046.4
19,0.052500360524505824,0.632643761567572,5.458767760088046e-05,0.356141,1059.2
20,0.051636598389130484,0.5497392706169781,5.05e-05,0.362804,1072.5
21,0.05060715284917078,0.6251422255966128,4.6412322399119556e-05,0.355964,1069.7
22,0.04960657374619677,0.5500669183873325,4.2352567781103665e-05,0.350827,1052.1
23,0.04876170398570403,0.5305699610556014,3.834846838653045e-05,0.353542,1037.3
24,0.047639240563753536,0.569281306935774,3.442737627436817e-05,0.343707,1042.8
25,0.04683220297612214,0.5835318489947019,3.0616076479678025e-05,0.348810,1033.7
26,0.046084828561810724,0.6010729113979549,2.6940604044664862e-05,0.348109,1039.5
27,0.04497322880145991,0.5827350563092455,2.3426066172939882e-05,0.343660,1024.1
28,0.04430982589280681,0.5460878598054464,2.0096470721861445e-05,0.347618,1031.5
29,0.043538326600640095,0.6053774736685239,1.6974562204525823e-05,0.336864,1023.3
30,0.042788563643478446,0.5668401007428567,1.4081666421679987e-05,0.343488,1038.6
31,0.04228248404419743,0.563202330365809,1.1437544784878524e-05,0.339122,1031.5
32,0.041678950461702176,0.5551752412129584,9.060259326004838e-06,0.334606,1019.7
33,0.04126298474707829,0.5649270982603963,6.966049315278797e-06,0.332511,1026.1
34,0.040838099016605074,0.5589400169696396,5.169220330574654e-06,0.330601,1020.0
35,0.04057751841995905,0.5806695358416432,3.6820465358185853e-06,0.330459,1027.5
36,0.04041306541061081,0.5707328277104079,2.5146868360031462e-06,0.328957,1018.5
37,0.040240427875619905,0.5674670752799713,1.675115481565245e-06,0.325874,1026.6
38,0.04002048627013752,0.5651293162319239,1.1690675961698423e-06,0.323603,1021.1
39,0.040065531252016576,0.5634457022264266,1e-06,0.324176,1037.3
