epoch,train_loss,sanval_nse,lr,grad_norm,elapsed_s
0,0.22323387208766116,0.47151282557302654,5e-05,4.139468,1139.0
1,0.16354031310406894,0.4784777626868092,0.0001,6.170091,1165.2
2,0.15298117200675748,0.5090012488569096,9.983093240383015e-05,5.897659,1132.2
3,0.14654352493006112,0.4989228884902066,9.932488451843476e-05,5.202311,1169.1
4,0.14214133517856656,0.5014822876817798,9.848531316399687e-05,4.975848,1134.0
5,0.13942352583594012,0.5061150660446985,9.73179534641814e-05,4.805373,1155.7
6,0.1365502594465978,0.5143776262825765,9.583077966942534e-05,4.352405,1157.9
7,0.13444326669638967,0.5128141565579625,9.403395068472121e-05,4.243954,1182.4
8,0.13265650801631498,0.538516081283209,9.193974067399516e-05,4.045427,1159.0
9,0.13137119101195666,0.5176182954460806,8.956245521512149e-05,3.953494,1165.2
10,0.1299597051830772,0.5336854585577209,8.691833357832002e-05,3.719877,1164.4
11,0.12842438837543724,0.5507988127745704,8.40254377954742e-05,3.751350,1147.7
12,0.1273044007005116,0.5460268186621471,8.090352927813856e-05,3.706112,1125.8
13,0.12604764200727817,0.527183007364707,7.757393382706014e-05,3.336124,1164.7
14,0.12454712096545201,0.5599760490206183,7.405939595533516e-05,3.362576,1133.1
15,0.12320168605812838,0.561699393233817,7.0383923520322e-05,3.134031,1144.4
16,0.1220820623860851,0.5982679210257935,6.657262372563184e-05,3.154188,1124.6
17,0.12056378360849429,0.5767458667602807,6.265153161346956e-05,2.911447,1210.5
18,0.11924405284108626,0.587754371486809,5.864743221889634e-05,2.928402,1158.2
19,0.1179636309447016,0.5889563828363356,5.458767760088046e-05,2.781542,1134.1
20,0.11665082231671633,0.604779126060409,5.05e-05,2.632310,1189.6
21,0.115474676274482,0.5756606362419268,4.6412322399119556e-05,2.549776,1276.0
22,0.1141516611405568,0.5927647866333725,4.2352567781103665e-05,2.484114,1305.7
23,0.11292609222384739,0.6130233809681425,3.834846838653045e-05,2.264707,1168.1
24,0.1117157329027449,0.6084264712780181,3.442737627436817e-05,2.339410,1127.7
25,0.11039250674760175,0.6032742515148213,3.0616076479678025e-05,2.122076,1147.4
26,0.1096263364188836,0.6183543729111708,2.6940604044664862e-05,1.999270,1129.0
27,0.10831421869120385,0.6018729152295424,2.3426066172939882e-05,2.087173,1147.8
28,0.10734041794631155,0.607435848543021,2.0096470721861445e-05,1.926641,1126.8
29,0.10654384682193344,0.6222287707780835,1.6974562204525823e-05,1.869508,1145.0
30,0.1054841749654854,0.6175445592551709,1.4081666421679987e-05,1.693421,1126.1
31,0.10487741654359642,0.6125662181703013,1.1437544784878524e-05,1.665884,1145.3
32,0.10432286534032864,0.6386104030897628,9.060259326004838e-06,1.525975,1128.5
33,0.10368761801737583,0.6273563261609026,6.966049315278797e-06,1.480289,1155.3
34,0.10320851500334062,0.6355281651007685,5.169220330574654e-06,1.439379,1156.4
35,0.1029214927734156,0.6262010391629302,3.6820465358185853e-06,1.378803,1155.7
36,0.10274409867754868,0.6352504107972443,2.5146868360031462e-06,1.305600,1145.3
37,0.1023909379252212,0.62845212726284,1.675115481565245e-06,1.237624,1160.4
38,0.10211142519531058,0.6266909331144075,1.1690675961698423e-06,1.233150,1123.5
39,0.10203157042332085,0.6285643392786544,1e-06,1.209693,1171.6
