epoch,train_loss,sanval_nse,lr,grad_norm,elapsed_s
0,0.6568101556977535,0.49879666666087774,2.5e-05,2.823388,578.5
1,0.5403733518312697,0.5173559035881408,5e-05,2.584353,578.0
2,0.5212715641016046,0.5203036705260713,4.991632007866342e-05,2.501415,578.9
3,0.5087918348931951,0.5338648864077173,4.96658519333667e-05,2.341828,578.2
4,0.4977182489087938,0.5452085060483851,4.92503065155136e-05,2.398757,578.3
5,0.4888449889705579,0.5576063037474328,4.867252242166555e-05,2.356412,578.8
6,0.4802629204014742,0.5104327072459615,4.7936446503048906e-05,2.385408,579.1
7,0.47138661519972774,0.4990237983699679,4.704710690455898e-05,2.373863,579.1
8,0.46321746066368363,0.5250403458088919,4.601057871743195e-05,2.468830,579.1
9,0.45736603751685817,0.5719271360681474,4.483394248021165e-05,2.437401,579.3
10,0.44416367461624395,0.5692932507511139,4.3525235811491726e-05,2.534646,579.4
11,0.4349609054326414,0.5522376165451092,4.209339850483066e-05,2.630785,579.4
12,0.42555552284984355,0.5761709865768311,4.054821146089687e-05,2.688383,578.9
13,0.4144890635158902,0.5974736211520839,3.8900229873999464e-05,2.815225,579.2
14,0.4045866565363449,0.5551016787556265,3.7160711129408306e-05,2.839591,579.2
15,0.397090969292616,0.5709959901083281,3.534153790399776e-05,2.953941,579.3
16,0.3868160686137583,0.6008580861591155,3.345513699551475e-05,3.006267,578.8
17,0.3797754423423264,0.6159862774377189,3.151439443494958e-05,3.012180,579.2
18,0.36645940939887545,0.5765668002333639,2.9532567461877985e-05,3.058422,578.9
19,0.3572091296273333,0.5690368516974028,2.7523193964072147e-05,3.009006,579.1
20,0.3494370629320536,0.6067460486589209,2.5500000000000003e-05,3.118267,579.2
21,0.3381684730170711,0.5913624044006247,2.3476806035927863e-05,3.140999,579.2
22,0.331144636474505,0.6094773804315139,2.1467432538122018e-05,3.142206,579.3
23,0.323398275831445,0.5793959612052986,1.9485605565050423e-05,3.264900,579.3
24,0.3147037628680284,0.5680227616891107,1.7544863004485257e-05,3.151934,579.2
25,0.3086700382245976,0.611026024468742,1.5658462096002255e-05,3.249027,579.6
26,0.3025354650402172,0.6100824333150954,1.3839288870591699e-05,3.149628,579.3
27,0.2975631404762478,0.5955689094052823,1.2099770126000546e-05,3.142893,580.4
28,0.29044179737340203,0.6299215576628014,1.0451788539103138e-05,3.265123,579.3
29,0.2856852206815596,0.6212913958147822,8.906601495169347e-06,3.145195,579.3
30,0.2814705551895501,0.6299642427947753,7.474764188508277e-06,3.153406,579.1
31,0.2789555180014234,0.6261521152679004,6.16605751978836e-06,3.166122,579.1
32,0.27391844381509745,0.6338427166990376,4.989421282568051e-06,3.135455,579.8
33,0.27138890449310693,0.6262902693463148,3.95289309544102e-06,3.106426,578.3
34,0.2687724835447052,0.6303120228995502,3.063553496951091e-06,3.074091,578.5
35,0.2664430858023441,0.6184405586302382,2.3274775783344513e-06,3.074294,578.7
36,0.2657905560999473,0.6167517893671101,1.7496934844864057e-06,3.096885,578.9
37,0.26651856457724454,0.6180480995022349,1.334148066633303e-06,3.156173,578.6
38,0.2642918098344652,0.6259931637348943,1.0836799213365887e-06,3.098724,578.7
39,0.2634765207994118,0.6238328689370046,1e-06,3.063322,578.6
