epoch,train_loss,sanval_nse,lr,grad_norm,elapsed_s
0,0.705460681767978,0.4907295485928237,5e-05,4.245761,2279.1
1,0.5376575316384865,0.5169075243081247,0.0001,3.448229,2331.7
2,0.515230280944676,0.525072862431424,9.983093240383015e-05,3.081601,2335.2
3,0.5012060896579614,0.5235924754010391,9.932488451843476e-05,2.738147,2330.8
4,0.49165672585986725,0.5319575981518923,9.848531316399687e-05,2.683230,2313.9
5,0.48282940022411686,0.5343628514002128,9.73179534641814e-05,2.546380,2325.4
6,0.4741815014411966,0.5466217018307575,9.583077966942534e-05,2.495495,2328.5
7,0.4670411998876913,0.520209607601736,9.403395068472121e-05,2.529525,2337.9
8,0.45990445457943874,0.5407958289661807,9.193974067399516e-05,2.492425,2326.1
9,0.4502356382090339,0.5426385657286186,8.956245521512149e-05,2.478013,2276.5
10,0.44050092694053367,0.5334480682572665,8.691833357832002e-05,2.529501,2248.6
11,0.4307178890235528,0.5512468571962138,8.40254377954742e-05,2.549989,2245.2
12,0.4226227569762557,0.5413235285363426,8.090352927813856e-05,2.566002,2126.3
13,0.41126658634402363,0.5261982627661372,7.757393382706014e-05,2.551350,2308.4
14,0.4006245905904576,0.5584217837876222,7.405939595533516e-05,2.627804,2343.2
15,0.3912189585070619,0.5663837897291778,7.0383923520322e-05,2.604884,2331.0
16,0.37889097455324805,0.5603772096695256,6.657262372563184e-05,2.661854,2280.3
17,0.36842937824483496,0.5645259666956683,6.265153161346956e-05,2.707728,2258.4
18,0.35701042449865955,0.5640435811406893,5.864743221889634e-05,2.704996,2258.3
19,0.34639926583191816,0.5429501352079238,5.458767760088046e-05,2.655668,2339.2
20,0.3359367041000731,0.5659961863223448,5.05e-05,2.678786,2339.9
21,0.32695961943455626,0.5407410874480896,4.6412322399119556e-05,2.650412,2297.7
22,0.3158131639462209,0.5480855472679896,4.2352567781103665e-05,2.635402,2325.3
23,0.3061778646625308,0.5873267545586495,3.834846838653045e-05,2.624760,2299.8
24,0.2962324021164421,0.5374982638605157,3.442737627436817e-05,2.599634,2300.3
25,0.2881598382185203,0.5394991596070541,3.0616076479678025e-05,2.565330,2309.2
26,0.2806038348906216,0.5393371326464502,2.6940604044664862e-05,2.482036,2289.6
27,0.27219583906740963,0.5371764446220644,2.3426066172939882e-05,2.486134,2302.9
28,0.2670677944780785,0.5461491167813368,2.0096470721861445e-05,2.431015,2303.4
29,0.2604241937816446,0.5475001378853602,1.6974562204525823e-05,2.330977,2306.5
30,0.25465094712020275,0.551162097022909,1.4081666421679987e-05,2.317647,2247.5
31,0.2507693893893393,0.5537799142437436,1.1437544784878524e-05,2.216180,2247.7
32,0.24612167206316368,0.5591945153961285,9.060259326004838e-06,2.148088,2263.6
33,0.24308609262158395,0.5682899063522653,6.966049315278797e-06,2.149177,2290.2
34,0.24052610698057675,0.5535881215136278,5.169220330574654e-06,2.097509,2301.3
35,0.23828475133974758,0.5571593530928747,3.6820465358185853e-06,2.059310,2256.6
36,0.2360459890032884,0.5698228076556355,2.5146868360031462e-06,2.029842,2256.2
37,0.23533908125653547,0.5493111971078892,1.675115481565245e-06,2.005345,2368.2
38,0.23407245830081097,0.5511410866978075,1.1690675961698423e-06,1.973854,2344.5
39,0.23415474394816801,0.5525869134143961,1e-06,1.968480,2399.7
