epoch,train_loss,sanval_nse,lr,grad_norm,elapsed_s
0,0.7049427890050021,0.4927154438754213,5e-05,4.203448,2287.8
1,0.5386231631614351,0.5162860833580128,0.0001,3.518858,2284.0
2,0.5164185709514912,0.5190053848386014,9.983093240383015e-05,3.042845,2297.2
3,0.5015264932194715,0.5154105721818241,9.932488451843476e-05,2.752839,2289.8
4,0.4933531185126291,0.5417081135373889,9.848531316399687e-05,2.636156,2290.8
5,0.48308103532745533,0.5563252008817512,9.73179534641814e-05,2.497235,2292.3
6,0.47451099291397963,0.5641838617092239,9.583077966942534e-05,2.467898,2294.1
7,0.466453908019316,0.5423147443212142,9.403395068472121e-05,2.507617,2263.4
8,0.4585757471243495,0.5577086501815124,9.193974067399516e-05,2.439856,2245.0
9,0.44941491500687547,0.5251098973054575,8.956245521512149e-05,2.481220,2191.0
10,0.44128258437698936,0.5274567050027538,8.691833357832002e-05,2.472371,2257.5
11,0.43249916278877404,0.5517000570160658,8.40254377954742e-05,2.484704,2262.4
12,0.42239126060763255,0.5466629883411022,8.090352927813856e-05,2.549316,2245.9
