epoch,train_loss,sanval_nse,lr,grad_norm,elapsed_s
0,0.6277899241718553,0.489253212797238,5e-05,2.810750,527.1
1,0.5344028937095238,0.5271745609534748,0.0001,2.560648,527.4
2,0.5221117773961682,0.5342970454311318,9.983093240383015e-05,2.423162,527.5
3,0.5108138846485182,0.531585338173417,9.932488451843476e-05,2.230582,527.9
4,0.5003705797751636,0.5455412195553024,9.848531316399687e-05,2.169352,527.9
5,0.4936655946153238,0.5634024590538121,9.73179534641814e-05,2.065507,527.4
6,0.4876957492182453,0.5093159504542101,9.583077966942534e-05,2.038539,527.4
7,0.4808043934556293,0.5897480932616598,9.403395068472121e-05,1.923058,527.6
8,0.4733241779077558,0.5302912466763448,9.193974067399516e-05,1.900193,527.2
9,0.4682087045972924,0.5546001893246719,8.956245521512149e-05,1.839301,527.1
10,0.4587430354594894,0.5585193063652794,8.691833357832002e-05,1.896218,527.0
11,0.4493161861585054,0.5962512570606586,8.40254377954742e-05,1.892314,526.8
12,0.4397300587065311,0.5498965702949128,8.090352927813856e-05,1.877161,527.2
13,0.42710232569292433,0.610163535070956,7.757393382706015e-05,1.943962,527.0
14,0.41664343836351764,0.5302997993678473,7.405939595533516e-05,1.974078,527.2
15,0.41071356154152805,0.564676475734821,7.0383923520322e-05,2.005078,527.5
16,0.3980009055933991,0.5554161170056173,6.657262372563184e-05,2.061592,526.9
17,0.38801406652338943,0.620441010367807,6.265153161346956e-05,2.075844,527.3
18,0.37350523692864745,0.5910067319641803,5.864743221889634e-05,2.115967,527.3
19,0.3660775257666181,0.5563699715910786,5.458767760088046e-05,2.170781,527.2
20,0.35623458454386997,0.545213867606599,5.05e-05,2.191994,526.9
21,0.34345355574356223,0.5610327339695788,4.6412322399119556e-05,2.152314,526.9
22,0.33462240913591695,0.542867342696645,4.2352567781103665e-05,2.184643,527.1
23,0.32473719104108095,0.5400761841688919,3.834846838653045e-05,2.202364,527.5
24,0.31491024940838036,0.5359970036388302,3.442737627436817e-05,2.211643,527.2
25,0.3042639610036299,0.5615784897774345,3.0616076479678025e-05,2.188001,527.0
26,0.2989798147935765,0.549975688494363,2.6940604044664862e-05,2.196241,527.1
27,0.29078358301339363,0.5561504043541124,2.3426066172939882e-05,2.186533,526.9
28,0.28217139218422227,0.6111822712236306,2.0096470721861445e-05,2.196567,527.0
29,0.2765841583259811,0.5441248453743156,1.697456220452583e-05,2.176948,527.2
30,0.27030098927933843,0.6066170845918355,1.4081666421679987e-05,2.119218,527.0
31,0.2649715131472912,0.5989669535207692,1.1437544784878524e-05,2.106860,527.4
32,0.26121849003985137,0.6108713978422502,9.060259326004838e-06,2.178928,527.1
33,0.25567344494239713,0.5990455822938894,6.966049315278797e-06,2.089606,527.0
34,0.2541920578422122,0.557799426431854,5.169220330574654e-06,2.064913,527.1
35,0.25243486090721345,0.6002808581067749,3.6820465358185853e-06,2.072837,527.0
36,0.2490268338707881,0.5666534721641805,2.5146868360031462e-06,2.074150,527.1
37,0.24802524408295157,0.6019627979171265,1.675115481565245e-06,2.025344,527.1
