epoch,train_loss,sanval_nse,lr,grad_norm,elapsed_s
0,0.6751631844789856,0.4861860442627466,5e-05,2.123564,381.7
1,0.5546549848088077,0.5244845727404803,0.0001,2.019553,381.3
2,0.530908474865037,0.5106566559128589,9.983093240383015e-05,2.017411,381.7
3,0.5148667742970413,0.5295985579542556,9.932488451843476e-05,1.910915,381.9
4,0.5047033318826881,0.5369673823692092,9.848531316399687e-05,1.976990,382.0
5,0.49654098640036315,0.5279792568100917,9.73179534641814e-05,1.958909,381.2
6,0.4899390061379797,0.5473490454432532,9.583077966942534e-05,1.919054,381.8
7,0.4817375310747587,0.5554087656904613,9.403395068472121e-05,1.930203,381.9
8,0.4757906287466489,0.5665067901613838,9.193974067399516e-05,1.896566,381.7
9,0.46766226581009057,0.5675974510488834,8.956245521512149e-05,1.911211,382.1
10,0.4634084200418285,0.5587814965672815,8.691833357832002e-05,2.006651,382.9
11,0.4552483959131491,0.5788524398593682,8.40254377954742e-05,2.035737,381.4
12,0.4469127473652026,0.6014515787735688,8.090352927813856e-05,2.053392,381.9
13,0.44043787496338815,0.5632106555162897,7.757393382706015e-05,2.150113,381.8
14,0.42987438302029607,0.5525744525902677,7.405939595533516e-05,2.196350,381.5
15,0.4207080862922938,0.5643441701780738,7.0383923520322e-05,2.227561,381.5
16,0.4162427818636212,0.5365208509681602,6.657262372563184e-05,2.315750,381.4
17,0.40685663828127683,0.5793150651920391,6.265153161346956e-05,2.409778,381.9
18,0.40031320322811553,0.5349730267109613,5.864743221889634e-05,2.380482,381.5
19,0.3897962111354753,0.5885081445429818,5.458767760088046e-05,2.466278,381.4
20,0.38173805532156846,0.6081825792105013,5.05e-05,2.595671,381.7
21,0.37551635919144655,0.5765954971623517,4.6412322399119556e-05,2.563283,381.3
22,0.3696139084350935,0.6162375330167316,4.2352567781103665e-05,2.661649,381.3
23,0.3680824012515041,0.5583728113440187,3.834846838653045e-05,2.678894,381.6
24,0.35814625737871875,0.6250997800328982,3.442737627436817e-05,2.682266,381.2
25,0.3498978411231959,0.6129015329956238,3.0616076479678025e-05,2.739078,381.5
26,0.34863186735449736,0.5644379705123268,2.6940604044664862e-05,2.793913,381.2
27,0.3399990050526346,0.5461678369334168,2.3426066172939882e-05,2.732146,380.7
28,0.33443362751163513,0.5403631095911465,2.0096470721861445e-05,2.742115,381.1
29,0.33022322535974497,0.5445659185948089,1.697456220452583e-05,2.737006,381.0
30,0.32748238976768596,0.551208444367954,1.4081666421679987e-05,2.850840,381.0
31,0.3238922230065596,0.536117301996677,1.1437544784878524e-05,2.783190,380.6
32,0.3190685663518389,0.5586115327943476,9.060259326004838e-06,2.741830,381.0
33,0.31816115531208666,0.5579987135311348,6.966049315278797e-06,2.802926,380.5
34,0.3173000668462141,0.5446766081305519,5.169220330574654e-06,2.789192,380.7
35,0.315515374944239,0.542340676815576,3.6820465358185853e-06,2.738004,380.8
36,0.3130941085475813,0.5426741479118714,2.5146868360031462e-06,2.785918,380.7
37,0.31122851363766374,0.545925008337008,1.675115481565245e-06,2.772396,380.9
38,0.31134539531373745,0.5473336342168043,1.1690675961698423e-06,2.849437,380.3
39,0.31261096604332655,0.5434372346929036,1e-06,2.753033,380.8
