epoch,train_loss,sanval_nse,lr,grad_norm,elapsed_s
0,0.6511910844715821,0.49665356450387954,5e-05,3.476785,624.8
1,0.5348496573265016,0.5234374351956766,0.0001,2.609699,625.1
2,0.5226790169600558,0.532872956335065,9.983093240383015e-05,2.410395,625.9
3,0.5116631808204669,0.5159683870796966,9.932488451843476e-05,2.242691,625.7
4,0.5033847737309224,0.5507806700464872,9.848531316399687e-05,2.253645,625.8
5,0.49505895315788123,0.5230215603449877,9.73179534641814e-05,2.152507,626.1
6,0.4886725358390365,0.5128883023351609,9.583077966942534e-05,2.139367,626.1
7,0.4805700786317377,0.5059804956977543,9.403395068472121e-05,2.179928,626.1
8,0.4714158641405333,0.49899901604563923,9.193974067399516e-05,2.126396,626.3
9,0.46354665358372477,0.5339398131974563,8.956245521512149e-05,2.124972,626.0
10,0.4553037011863132,0.5865990605799842,8.691833357832002e-05,2.189949,626.1
11,0.44547230318975745,0.5727509937417743,8.40254377954742e-05,2.121802,625.9
12,0.4361453871452003,0.586759123987947,8.090352927813856e-05,2.172061,626.6
13,0.4234563240665711,0.6237468372175945,7.757393382706015e-05,2.241599,625.9
14,0.4155304335895473,0.5852475065317084,7.405939595533516e-05,2.314207,625.9
15,0.4024138308095277,0.5590143612500073,7.0383923520322e-05,2.375554,625.9
16,0.391057650870069,0.6404372747507843,6.657262372563184e-05,2.380805,626.3
17,0.37875303104701147,0.5760465210852501,6.265153161346956e-05,2.371596,626.1
18,0.3644633944765706,0.6048221704679382,5.864743221889634e-05,2.461380,626.4
19,0.35444910042686456,0.5868780061381227,5.458767760088046e-05,2.391166,626.2
20,0.33988245401353884,0.5691159625777485,5.05e-05,2.385323,626.1
21,0.3329896431684498,0.5956593240620238,4.6412322399119556e-05,2.464553,626.4
22,0.3176749928204773,0.5894977464589215,4.2352567781103665e-05,2.446125,626.4
23,0.3083188141249024,0.5962808982024206,3.834846838653045e-05,2.463507,626.4
24,0.2972012669276771,0.5874685192632492,3.442737627436817e-05,2.465361,626.3
25,0.28674653371235564,0.6207415231498765,3.0616076479678025e-05,2.447396,625.7
26,0.2755799431917987,0.6084573414391901,2.6940604044664862e-05,2.406202,625.9
27,0.2655850255770159,0.5996702284140495,2.3426066172939882e-05,2.363917,626.0
28,0.2582993369218631,0.5777371552118534,2.0096470721861445e-05,2.333931,626.2
29,0.2513179062503597,0.6120651718023566,1.697456220452583e-05,2.360413,625.8
30,0.24310993448655968,0.6130258635982697,1.4081666421679987e-05,2.327008,625.9
31,0.23703095833366994,0.6388884501119887,1.1437544784878524e-05,2.217303,626.0
32,0.23331752992316446,0.6182812579966258,9.060259326004838e-06,2.272184,625.7
33,0.22775638166222067,0.6258411495882975,6.966049315278797e-06,2.239783,625.9
34,0.2243951620048671,0.6325679910894888,5.169220330574654e-06,2.184876,625.8
35,0.22318351957328444,0.62498833183362,3.6820465358185853e-06,2.235715,625.9
36,0.2199485700449784,0.6226344247662506,2.5146868360031462e-06,2.187942,625.8
